Subject,GroupCode,GroupLabel,FactorA,FactorA_Label,FactorB,FactorB_Label,Interaction
1,0,A- B-,-1,A-,-1,B-,1
2,0,A- B-,-1,A-,-1,B-,1
3,0,A- B-,-1,A-,-1,B-,1
4,0,A- B-,-1,A-,-1,B-,1
5,0,A- B-,-1,A-,-1,B-,1
6,0,A- B-,-1,A-,-1,B-,1
7,0,A- B-,-1,A-,-1,B-,1
8,0,A- B-,-1,A-,-1,B-,1
9,0,A- B-,-1,A-,-1,B-,1
10,0,A- B-,-1,A-,-1,B-,1
11,0,A- B-,-1,A-,-1,B-,1
12,0,A- B-,-1,A-,-1,B-,1
13,0,A- B-,-1,A-,-1,B-,1
14,0,A- B-,-1,A-,-1,B-,1
15,0,A- B-,-1,A-,-1,B-,1
16,0,A- B-,-1,A-,-1,B-,1
17,0,A- B-,-1,A-,-1,B-,1
18,0,A- B-,-1,A-,-1,B-,1
19,0,A- B-,-1,A-,-1,B-,1
20,0,A- B-,-1,A-,-1,B-,1
21,0,A- B-,-1,A-,-1,B-,1
22,0,A- B-,-1,A-,-1,B-,1
23,0,A- B-,-1,A-,-1,B-,1
24,0,A- B-,-1,A-,-1,B-,1
25,0,A- B-,-1,A-,-1,B-,1
26,0,A- B-,-1,A-,-1,B-,1
27,1,A- B+,-1,A-,1,B+,-1
28,1,A- B+,-1,A-,1,B+,-1
29,1,A- B+,-1,A-,1,B+,-1
30,1,A- B+,-1,A-,1,B+,-1
31,1,A- B+,-1,A-,1,B+,-1
32,1,A- B+,-1,A-,1,B+,-1
33,1,A- B+,-1,A-,1,B+,-1
34,1,A- B+,-1,A-,1,B+,-1
35,1,A- B+,-1,A-,1,B+,-1
36,1,A- B+,-1,A-,1,B+,-1
37,1,A- B+,-1,A-,1,B+,-1
38,1,A- B+,-1,A-,1,B+,-1
39,1,A- B+,-1,A-,1,B+,-1
40,1,A- B+,-1,A-,1,B+,-1
41,1,A- B+,-1,A-,1,B+,-1
42,1,A- B+,-1,A-,1,B+,-1
43,1,A- B+,-1,A-,1,B+,-1
44,1,A- B+,-1,A-,1,B+,-1
45,1,A- B+,-1,A-,1,B+,-1
46,1,A- B+,-1,A-,1,B+,-1
47,1,A- B+,-1,A-,1,B+,-1
48,1,A- B+,-1,A-,1,B+,-1
49,1,A- B+,-1,A-,1,B+,-1
50,1,A- B+,-1,A-,1,B+,-1
51,2,A+ B-,1,A+,-1,B-,-1
52,2,A+ B-,1,A+,-1,B-,-1
53,2,A+ B-,1,A+,-1,B-,-1
54,2,A+ B-,1,A+,-1,B-,-1
55,2,A+ B-,1,A+,-1,B-,-1
56,2,A+ B-,1,A+,-1,B-,-1
57,2,A+ B-,1,A+,-1,B-,-1
58,2,A+ B-,1,A+,-1,B-,-1
59,2,A+ B-,1,A+,-1,B-,-1
60,2,A+ B-,1,A+,-1,B-,-1
61,2,A+ B-,1,A+,-1,B-,-1
62,2,A+ B-,1,A+,-1,B-,-1
63,2,A+ B-,1,A+,-1,B-,-1
64,2,A+ B-,1,A+,-1,B-,-1
65,2,A+ B-,1,A+,-1,B-,-1
66,2,A+ B-,1,A+,-1,B-,-1
67,2,A+ B-,1,A+,-1,B-,-1
68,2,A+ B-,1,A+,-1,B-,-1
69,2,A+ B-,1,A+,-1,B-,-1
70,2,A+ B-,1,A+,-1,B-,-1
71,2,A+ B-,1,A+,-1,B-,-1
72,2,A+ B-,1,A+,-1,B-,-1
73,2,A+ B-,1,A+,-1,B-,-1
74,2,A+ B-,1,A+,-1,B-,-1
75,2,A+ B-,1,A+,-1,B-,-1
76,3,A+ B+,1,A+,1,B+,1
77,3,A+ B+,1,A+,1,B+,1
78,3,A+ B+,1,A+,1,B+,1
79,3,A+ B+,1,A+,1,B+,1
80,3,A+ B+,1,A+,1,B+,1
81,3,A+ B+,1,A+,1,B+,1
82,3,A+ B+,1,A+,1,B+,1
83,3,A+ B+,1,A+,1,B+,1
84,3,A+ B+,1,A+,1,B+,1
85,3,A+ B+,1,A+,1,B+,1
86,3,A+ B+,1,A+,1,B+,1
87,3,A+ B+,1,A+,1,B+,1
88,3,A+ B+,1,A+,1,B+,1
89,3,A+ B+,1,A+,1,B+,1
90,3,A+ B+,1,A+,1,B+,1
91,3,A+ B+,1,A+,1,B+,1
92,3,A+ B+,1,A+,1,B+,1
93,3,A+ B+,1,A+,1,B+,1
94,3,A+ B+,1,A+,1,B+,1
95,3,A+ B+,1,A+,1,B+,1
96,3,A+ B+,1,A+,1,B+,1
97,3,A+ B+,1,A+,1,B+,1
98,3,A+ B+,1,A+,1,B+,1
99,3,A+ B+,1,A+,1,B+,1
100,3,A+ B+,1,A+,1,B+,1
101,3,A+ B+,1,A+,1,B+,1
102,3,A+ B+,1,A+,1,B+,1
103,3,A+ B+,1,A+,1,B+,1
104,3,A+ B+,1,A+,1,B+,1
105,3,A+ B+,1,A+,1,B+,1
