Subject,CondCode,CondName
1,-1,Control
1,1,Treatment
2,-1,Control
2,1,Treatment
3,-1,Control
3,1,Treatment
4,-1,Control
4,1,Treatment
5,-1,Control
5,1,Treatment
6,-1,Control
6,1,Treatment
7,-1,Control
7,1,Treatment
8,-1,Control
8,1,Treatment
9,-1,Control
9,1,Treatment
10,-1,Control
10,1,Treatment
11,-1,Control
11,1,Treatment
12,-1,Control
12,1,Treatment
13,-1,Control
13,1,Treatment
14,-1,Control
14,1,Treatment
15,-1,Control
15,1,Treatment
16,-1,Control
16,1,Treatment
17,-1,Control
17,1,Treatment
18,-1,Control
18,1,Treatment
19,-1,Control
19,1,Treatment
20,-1,Control
20,1,Treatment
21,-1,Control
21,1,Treatment
22,-1,Control
22,1,Treatment
23,-1,Control
23,1,Treatment
24,-1,Control
24,1,Treatment
25,-1,Control
25,1,Treatment
26,-1,Control
26,1,Treatment
27,-1,Control
27,1,Treatment
28,-1,Control
28,1,Treatment
29,-1,Control
29,1,Treatment
30,-1,Control
30,1,Treatment
