Class,Student,Condition,ConditionCode
1,1,Control,-1
1,1,Treatment,1
1,2,Control,-1
1,2,Treatment,1
1,3,Control,-1
1,3,Treatment,1
1,4,Control,-1
1,4,Treatment,1
1,5,Control,-1
1,5,Treatment,1
1,6,Control,-1
1,6,Treatment,1
1,7,Control,-1
1,7,Treatment,1
1,8,Control,-1
1,8,Treatment,1
1,9,Control,-1
1,9,Treatment,1
1,10,Control,-1
1,10,Treatment,1
2,1,Control,-1
2,1,Treatment,1
2,2,Control,-1
2,2,Treatment,1
2,3,Control,-1
2,3,Treatment,1
2,4,Control,-1
2,4,Treatment,1
2,5,Control,-1
2,5,Treatment,1
2,6,Control,-1
2,6,Treatment,1
2,7,Control,-1
2,7,Treatment,1
2,8,Control,-1
2,8,Treatment,1
2,9,Control,-1
2,9,Treatment,1
2,10,Control,-1
2,10,Treatment,1
3,1,Control,-1
3,1,Treatment,1
3,2,Control,-1
3,2,Treatment,1
3,3,Control,-1
3,3,Treatment,1
3,4,Control,-1
3,4,Treatment,1
3,5,Control,-1
3,5,Treatment,1
3,6,Control,-1
3,6,Treatment,1
3,7,Control,-1
3,7,Treatment,1
3,8,Control,-1
3,8,Treatment,1
3,9,Control,-1
3,9,Treatment,1
3,10,Control,-1
3,10,Treatment,1
4,1,Control,-1
4,1,Treatment,1
4,2,Control,-1
4,2,Treatment,1
4,3,Control,-1
4,3,Treatment,1
4,4,Control,-1
4,4,Treatment,1
4,5,Control,-1
4,5,Treatment,1
4,6,Control,-1
4,6,Treatment,1
4,7,Control,-1
4,7,Treatment,1
4,8,Control,-1
4,8,Treatment,1
4,9,Control,-1
4,9,Treatment,1
4,10,Control,-1
4,10,Treatment,1
5,1,Control,-1
5,1,Treatment,1
5,2,Control,-1
5,2,Treatment,1
5,3,Control,-1
5,3,Treatment,1
5,4,Control,-1
5,4,Treatment,1
5,5,Control,-1
5,5,Treatment,1
5,6,Control,-1
5,6,Treatment,1
5,7,Control,-1
5,7,Treatment,1
5,8,Control,-1
5,8,Treatment,1
5,9,Control,-1
5,9,Treatment,1
5,10,Control,-1
5,10,Treatment,1
6,1,Control,-1
6,1,Treatment,1
6,2,Control,-1
6,2,Treatment,1
6,3,Control,-1
6,3,Treatment,1
6,4,Control,-1
6,4,Treatment,1
6,5,Control,-1
6,5,Treatment,1
6,6,Control,-1
6,6,Treatment,1
6,7,Control,-1
6,7,Treatment,1
6,8,Control,-1
6,8,Treatment,1
6,9,Control,-1
6,9,Treatment,1
6,10,Control,-1
6,10,Treatment,1
