Subject,Item,Condition,ConditionCode
1,1,Control,-1
1,1,Treatment,1
1,2,Control,-1
1,2,Treatment,1
1,3,Control,-1
1,3,Treatment,1
1,4,Control,-1
1,4,Treatment,1
1,5,Control,-1
1,5,Treatment,1
1,6,Control,-1
1,6,Treatment,1
1,7,Control,-1
1,7,Treatment,1
1,8,Control,-1
1,8,Treatment,1
1,9,Control,-1
1,9,Treatment,1
1,10,Control,-1
1,10,Treatment,1
1,11,Control,-1
1,11,Treatment,1
1,12,Control,-1
1,12,Treatment,1
1,13,Control,-1
1,13,Treatment,1
1,14,Control,-1
1,14,Treatment,1
1,15,Control,-1
1,15,Treatment,1
1,16,Control,-1
1,16,Treatment,1
1,17,Control,-1
1,17,Treatment,1
1,18,Control,-1
1,18,Treatment,1
1,19,Control,-1
1,19,Treatment,1
1,20,Control,-1
1,20,Treatment,1
2,1,Control,-1
2,1,Treatment,1
2,2,Control,-1
2,2,Treatment,1
2,3,Control,-1
2,3,Treatment,1
2,4,Control,-1
2,4,Treatment,1
2,5,Control,-1
2,5,Treatment,1
2,6,Control,-1
2,6,Treatment,1
2,7,Control,-1
2,7,Treatment,1
2,8,Control,-1
2,8,Treatment,1
2,9,Control,-1
2,9,Treatment,1
2,10,Control,-1
2,10,Treatment,1
2,11,Control,-1
2,11,Treatment,1
2,12,Control,-1
2,12,Treatment,1
2,13,Control,-1
2,13,Treatment,1
2,14,Control,-1
2,14,Treatment,1
2,15,Control,-1
2,15,Treatment,1
2,16,Control,-1
2,16,Treatment,1
2,17,Control,-1
2,17,Treatment,1
2,18,Control,-1
2,18,Treatment,1
2,19,Control,-1
2,19,Treatment,1
2,20,Control,-1
2,20,Treatment,1
3,1,Control,-1
3,1,Treatment,1
3,2,Control,-1
3,2,Treatment,1
3,3,Control,-1
3,3,Treatment,1
3,4,Control,-1
3,4,Treatment,1
3,5,Control,-1
3,5,Treatment,1
3,6,Control,-1
3,6,Treatment,1
3,7,Control,-1
3,7,Treatment,1
3,8,Control,-1
3,8,Treatment,1
3,9,Control,-1
3,9,Treatment,1
3,10,Control,-1
3,10,Treatment,1
3,11,Control,-1
3,11,Treatment,1
3,12,Control,-1
3,12,Treatment,1
3,13,Control,-1
3,13,Treatment,1
3,14,Control,-1
3,14,Treatment,1
3,15,Control,-1
3,15,Treatment,1
3,16,Control,-1
3,16,Treatment,1
3,17,Control,-1
3,17,Treatment,1
3,18,Control,-1
3,18,Treatment,1
3,19,Control,-1
3,19,Treatment,1
3,20,Control,-1
3,20,Treatment,1
4,1,Control,-1
4,1,Treatment,1
4,2,Control,-1
4,2,Treatment,1
4,3,Control,-1
4,3,Treatment,1
4,4,Control,-1
4,4,Treatment,1
4,5,Control,-1
4,5,Treatment,1
4,6,Control,-1
4,6,Treatment,1
4,7,Control,-1
4,7,Treatment,1
4,8,Control,-1
4,8,Treatment,1
4,9,Control,-1
4,9,Treatment,1
4,10,Control,-1
4,10,Treatment,1
4,11,Control,-1
4,11,Treatment,1
4,12,Control,-1
4,12,Treatment,1
4,13,Control,-1
4,13,Treatment,1
4,14,Control,-1
4,14,Treatment,1
4,15,Control,-1
4,15,Treatment,1
4,16,Control,-1
4,16,Treatment,1
4,17,Control,-1
4,17,Treatment,1
4,18,Control,-1
4,18,Treatment,1
4,19,Control,-1
4,19,Treatment,1
4,20,Control,-1
4,20,Treatment,1
5,1,Control,-1
5,1,Treatment,1
5,2,Control,-1
5,2,Treatment,1
5,3,Control,-1
5,3,Treatment,1
5,4,Control,-1
5,4,Treatment,1
5,5,Control,-1
5,5,Treatment,1
5,6,Control,-1
5,6,Treatment,1
5,7,Control,-1
5,7,Treatment,1
5,8,Control,-1
5,8,Treatment,1
5,9,Control,-1
5,9,Treatment,1
5,10,Control,-1
5,10,Treatment,1
5,11,Control,-1
5,11,Treatment,1
5,12,Control,-1
5,12,Treatment,1
5,13,Control,-1
5,13,Treatment,1
5,14,Control,-1
5,14,Treatment,1
5,15,Control,-1
5,15,Treatment,1
5,16,Control,-1
5,16,Treatment,1
5,17,Control,-1
5,17,Treatment,1
5,18,Control,-1
5,18,Treatment,1
5,19,Control,-1
5,19,Treatment,1
5,20,Control,-1
5,20,Treatment,1
6,1,Control,-1
6,1,Treatment,1
6,2,Control,-1
6,2,Treatment,1
6,3,Control,-1
6,3,Treatment,1
6,4,Control,-1
6,4,Treatment,1
6,5,Control,-1
6,5,Treatment,1
6,6,Control,-1
6,6,Treatment,1
6,7,Control,-1
6,7,Treatment,1
6,8,Control,-1
6,8,Treatment,1
6,9,Control,-1
6,9,Treatment,1
6,10,Control,-1
6,10,Treatment,1
6,11,Control,-1
6,11,Treatment,1
6,12,Control,-1
6,12,Treatment,1
6,13,Control,-1
6,13,Treatment,1
6,14,Control,-1
6,14,Treatment,1
6,15,Control,-1
6,15,Treatment,1
6,16,Control,-1
6,16,Treatment,1
6,17,Control,-1
6,17,Treatment,1
6,18,Control,-1
6,18,Treatment,1
6,19,Control,-1
6,19,Treatment,1
6,20,Control,-1
6,20,Treatment,1
7,1,Control,-1
7,1,Treatment,1
7,2,Control,-1
7,2,Treatment,1
7,3,Control,-1
7,3,Treatment,1
7,4,Control,-1
7,4,Treatment,1
7,5,Control,-1
7,5,Treatment,1
7,6,Control,-1
7,6,Treatment,1
7,7,Control,-1
7,7,Treatment,1
7,8,Control,-1
7,8,Treatment,1
7,9,Control,-1
7,9,Treatment,1
7,10,Control,-1
7,10,Treatment,1
7,11,Control,-1
7,11,Treatment,1
7,12,Control,-1
7,12,Treatment,1
7,13,Control,-1
7,13,Treatment,1
7,14,Control,-1
7,14,Treatment,1
7,15,Control,-1
7,15,Treatment,1
7,16,Control,-1
7,16,Treatment,1
7,17,Control,-1
7,17,Treatment,1
7,18,Control,-1
7,18,Treatment,1
7,19,Control,-1
7,19,Treatment,1
7,20,Control,-1
7,20,Treatment,1
8,1,Control,-1
8,1,Treatment,1
8,2,Control,-1
8,2,Treatment,1
8,3,Control,-1
8,3,Treatment,1
8,4,Control,-1
8,4,Treatment,1
8,5,Control,-1
8,5,Treatment,1
8,6,Control,-1
8,6,Treatment,1
8,7,Control,-1
8,7,Treatment,1
8,8,Control,-1
8,8,Treatment,1
8,9,Control,-1
8,9,Treatment,1
8,10,Control,-1
8,10,Treatment,1
8,11,Control,-1
8,11,Treatment,1
8,12,Control,-1
8,12,Treatment,1
8,13,Control,-1
8,13,Treatment,1
8,14,Control,-1
8,14,Treatment,1
8,15,Control,-1
8,15,Treatment,1
8,16,Control,-1
8,16,Treatment,1
8,17,Control,-1
8,17,Treatment,1
8,18,Control,-1
8,18,Treatment,1
8,19,Control,-1
8,19,Treatment,1
8,20,Control,-1
8,20,Treatment,1
9,1,Control,-1
9,1,Treatment,1
9,2,Control,-1
9,2,Treatment,1
9,3,Control,-1
9,3,Treatment,1
9,4,Control,-1
9,4,Treatment,1
9,5,Control,-1
9,5,Treatment,1
9,6,Control,-1
9,6,Treatment,1
9,7,Control,-1
9,7,Treatment,1
9,8,Control,-1
9,8,Treatment,1
9,9,Control,-1
9,9,Treatment,1
9,10,Control,-1
9,10,Treatment,1
9,11,Control,-1
9,11,Treatment,1
9,12,Control,-1
9,12,Treatment,1
9,13,Control,-1
9,13,Treatment,1
9,14,Control,-1
9,14,Treatment,1
9,15,Control,-1
9,15,Treatment,1
