Time,Channel,Amplitude,Subject
-200,Fp1,1.14646640653865,1
-196,Fp1,-1.45682866181294,1
-192,Fp1,-1.01233336697963,1
-188,Fp1,0.0518468809611823,1
-184,Fp1,0.722466749885544,1
-180,Fp1,0.499950684948757,1
-176,Fp1,-1.18836451330714,1
-172,Fp1,-2.05023171979953,1
-168,Fp1,-0.950868118419576,1
-164,Fp1,0.227595770097585,1
-160,Fp1,1.38043683156264,1
-156,Fp1,-0.996766397604494,1
-152,Fp1,2.2127926856683,1
-148,Fp1,2.1929780653484,1
-144,Fp1,0.442698969249035,1
-140,Fp1,0.473509340883774,1
-136,Fp1,-1.36740447277252,1
-132,Fp1,1.96441918566383,1
-128,Fp1,0.00339924120498109,1
-124,Fp1,1.56524246221576,1
-120,Fp1,-0.991024447786032,1
-116,Fp1,1.84477234145942,1
-112,Fp1,-0.297755737469575,1
-108,Fp1,-1.66748748490763,1
-104,Fp1,-1.31996888181795,1
-100,Fp1,1.02142980889405,1
-96,Fp1,1.72329753720305,1
-92,Fp1,-0.412991987515768,1
-88,Fp1,0.305913189512863,1
-84,Fp1,1.40292662811654,1
-80,Fp1,-1.41343647476773,1
-76,Fp1,-1.71372600379562,1
-72,Fp1,-0.037987851492293,1
-68,Fp1,-2.73977031752597,1
-64,Fp1,0.212114317278252,1
-60,Fp1,-2.47243766663218,1
-56,Fp1,-0.0767843285665783,1
-52,Fp1,-2.42436492065069,1
-48,Fp1,-0.855630868168525,1
-44,Fp1,0.731430818236982,1
-40,Fp1,-0.557425116332975,1
-36,Fp1,0.716581335815238,1
-32,Fp1,1.98589333593828,1
-28,Fp1,0.649325126941254,1
-24,Fp1,-0.257039787095362,1
-20,Fp1,-0.557150845688399,1
-16,Fp1,-0.380560843569438,1
-12,Fp1,-0.0519087795165615,1
-8,Fp1,-3.12230905461614,1
-4,Fp1,-0.396946505314022,1
0,Fp1,-0.363001964596108,1
4,Fp1,-0.511929589885525,1
8,Fp1,1.56799548463545,1
12,Fp1,-0.802668796927948,1
16,Fp1,2.08039471239595,1
20,Fp1,0.00837243608441417,1
24,Fp1,-1.91322706664026,1
28,Fp1,1.71777280556954,1
32,Fp1,0.989332404750597,1
36,Fp1,0.668884554407363,1
