Subject,GroupCode,GroupLabel
1,-1,Control
2,-1,Control
3,-1,Control
4,-1,Control
5,-1,Control
6,-1,Control
7,-1,Control
8,-1,Control
9,-1,Control
10,-1,Control
11,-1,Control
12,-1,Control
13,-1,Control
14,-1,Control
15,-1,Control
16,-1,Control
17,-1,Control
18,-1,Control
19,-1,Control
20,-1,Control
21,-1,Control
22,-1,Control
23,-1,Control
24,-1,Control
25,-1,Control
26,-1,Control
27,-1,Control
28,-1,Control
29,-1,Control
30,-1,Control
31,1,Treatment
32,1,Treatment
33,1,Treatment
34,1,Treatment
35,1,Treatment
36,1,Treatment
37,1,Treatment
38,1,Treatment
39,1,Treatment
40,1,Treatment
41,1,Treatment
42,1,Treatment
43,1,Treatment
44,1,Treatment
45,1,Treatment
46,1,Treatment
47,1,Treatment
48,1,Treatment
49,1,Treatment
50,1,Treatment
51,1,Treatment
52,1,Treatment
53,1,Treatment
54,1,Treatment
55,1,Treatment
56,1,Treatment
57,1,Treatment
58,1,Treatment
59,1,Treatment
60,1,Treatment
