Subject,Group,GroupCode,Covariate
1,Control,-1,0.725474892295238
2,Control,-1,-0.643831299228746
3,Control,-1,-1.07382785246158
4,Control,-1,0.162573691230384
5,Control,-1,0.629141041288486
6,Control,-1,-0.362323173314738
7,Control,-1,1.29549983235076
8,Control,-1,0.582591356986154
9,Control,-1,-0.0717779120024085
10,Control,-1,-0.333926691983227
11,Control,-1,-0.593651032637037
12,Control,-1,0.525538119042335
13,Control,-1,-0.17258040398504
14,Control,-1,-1.7145541986895
15,Control,-1,-0.387502206859923
16,Control,-1,0.806744719529204
17,Control,-1,-0.949775696160382
18,Control,-1,-0.501779634439494
19,Control,-1,0.0839061360412692
20,Control,-1,0.0512017387229878
21,Control,-1,0.281071983789775
22,Control,-1,1.0246966798574
23,Control,-1,0.862235729189405
24,Control,-1,0.248401037161447
25,Control,-1,0.581518581833976
26,Control,-1,-0.684141803151444
27,Control,-1,-0.403888404527783
28,Control,-1,-0.622284263640085
29,Control,-1,-1.40867578510061
30,Control,-1,0.504329852614417
31,Treatment,1,-1.74659447543765
32,Treatment,1,-0.103469971982708
33,Treatment,1,-0.169513537886169
34,Treatment,1,-0.0502151837396
35,Treatment,1,-0.140859131649149
36,Treatment,1,-0.962213615932825
37,Treatment,1,-0.338598665581498
38,Treatment,1,1.45827109997944
39,Treatment,1,1.3492132900227
40,Treatment,1,-0.0334190194677141
41,Treatment,1,0.37262350452105
42,Treatment,1,-0.959166872802424
43,Treatment,1,-0.599894805639511
44,Treatment,1,-0.358779537426705
45,Treatment,1,1.85833473331898
46,Treatment,1,-0.429430804137774
47,Treatment,1,-0.0907025984804238
48,Treatment,1,0.996327573289887
49,Treatment,1,0.0168067711170545
50,Treatment,1,0.420663715973277
51,Treatment,1,-1.18324882169907
52,Treatment,1,1.36822657296403
53,Treatment,1,0.200623100108977
54,Treatment,1,0.0892602456734754
55,Treatment,1,-0.144416204331382
56,Treatment,1,-0.534942560665459
57,Treatment,1,-0.353248602627823
58,Treatment,1,0.824453920677262
59,Treatment,1,0.811881013735549
60,Treatment,1,-0.00837616564501615
